
 displacements (vx,vy,vz) for set LEFT_LOWER_DATUM and time  0.1000000E+01
      1363   8  5.151319E+01 -1.570061E+01  7.867828E+00  7.805084E+00 -6.585137E-01  5.382000E+00
      1364   1  6.923935E+01 -1.879003E+01 -2.724147E+00  4.164391E+01 -5.829822E-01 -1.023703E+00
      1364   2  1.323924E+02  5.554032E+00  4.108932E+00  5.197307E+01 -5.347250E-01 -6.205457E-01
      1364   3  7.361232E+01 -1.781862E+01 -1.127697E+00  4.217093E+01 -2.179482E+00  6.074862E+00
      1364   4  1.366706E+02  6.363224E+00  5.635197E+00  5.232245E+01 -2.097421E+00  6.467809E+00
      1364   5  8.174939E+01 -2.988065E+01 -1.932612E+00  2.065075E+01  1.472070E+00 -3.195159E+00
      1364   6  1.444458E+02 -5.005065E+00  5.023974E+00  3.185893E+01  1.574332E+00 -2.983030E+00
      1364   7  8.601651E+01 -2.869842E+01 -2.276900E-01  2.107551E+01 -1.222468E-01  3.876098E+00
      1364   8  1.486262E+02 -3.990233E+00  6.662703E+00  3.211033E+01  1.333236E-02  4.079890E+00
      1365   1  1.657876E+02  1.313038E+00 -1.125456E+00  6.096082E+01 -1.424393E-01 -1.617814E+00
      1365   2  2.191274E+02  2.116018E+01  2.027587E+00  6.989138E+01 -6.487386E-02 -1.215583E+00
      1365   3  1.700574E+02  2.008154E+00  3.690623E-01  6.111358E+01 -1.626630E+00  5.230485E+00
      1365   4  2.233472E+02  2.173194E+01  3.476804E+00  6.989722E+01 -1.519077E+00  5.621878E+00
      1365   5  1.774513E+02 -8.906500E+00 -1.676826E-01  4.152993E+01  2.010041E+00 -4.135931E+00
      1365   6  2.304040E+02  1.140784E+01  3.107146E+00  5.121908E+01  2.152577E+00 -3.921019E+00
      1365   7  1.816294E+02 -8.025573E+00  1.434838E+00  4.157933E+01  5.267053E-01  2.689301E+00
      1365   8  2.345393E+02  1.216172E+01  4.668406E+00  5.112561E+01  6.987532E-01  2.895014E+00
      1366   1 -3.229932E+02 -4.704272E+01 -1.681555E+01 -5.548275E+01 -2.022016E+00 -2.535682E+00
      1366   2 -2.037101E+02  2.454398E+00  9.137268E+00 -3.704643E+01 -1.845045E+00 -1.328792E+00
      1366   3 -3.161829E+02 -4.574710E+01 -1.442612E+01 -5.261326E+01 -4.199639E+00  6.635256E+00
      1366   4 -1.972467E+02  3.370594E+00  1.131780E+01 -3.452646E+01 -3.959903E+00  7.837367E+00
      1366   5 -3.066291E+02 -6.382242E+01 -1.699847E+01 -8.516989E+01  4.428357E-01 -3.410296E+00
      1366   6 -1.881474E+02 -1.335314E+01  9.137074E+00 -6.514483E+01  6.636559E-01 -2.393192E+00
      1366   7 -2.999989E+02 -6.220431E+01 -1.448912E+01 -8.240685E+01 -1.729414E+00  5.707948E+00
      1366   8 -1.818498E+02 -1.212706E+01  1.144200E+01 -6.272562E+01 -1.446593E+00  6.723426E+00
      1367   1 -1.655220E+02 -4.558867E+01 -1.103876E+01 -1.276474E+01 -1.726731E+00 -7.456476E-01
      1367   2 -7.188828E+01 -7.765335E+00  6.032061E+00  1.758906E+00 -1.685750E+00  8.002222E-02
      1367   3 -1.587672E+02 -4.385425E+01 -8.515496E+00 -1.065965E+01 -3.580740E+00  7.545003E+00
      1367   4 -6.550089E+01 -6.377093E+00  8.349341E+00  3.568327E+00 -3.493559E+00  8.361972E+00
      1367   5 -1.508465E+02 -5.946135E+01 -1.063507E+01 -3.871202E+01  8.322983E-01 -2.030490E+00
      1367   6 -5.785865E+01 -2.088574E+01  6.586005E+00 -2.291761E+01  8.975287E-01 -1.404677E+00
      1367   7 -1.442490E+02 -5.741224E+01 -7.988393E+00 -3.667806E+01 -1.018551E+00  6.219019E+00
      1367   8 -5.161665E+01 -1.919401E+01  9.030524E+00 -2.117585E+01 -9.076422E-01  6.838683E+00
      1368   1 -3.526411E+01 -3.505436E+01 -6.891727E+00  1.877901E+01 -1.265261E+00 -9.541641E-01
      1368   2  4.053979E+01 -5.251193E+00  4.171554E+00  3.064901E+01 -1.306636E+00 -1.588895E-01
      1368   3 -2.908801E+01 -3.392958E+01 -4.709471E+00  2.031476E+01 -2.882135E+00  6.662064E+00
      1368   4  4.637531E+01 -4.428744E+00  6.168367E+00  3.193536E+01 -2.887817E+00  7.446377E+00
      1368   5 -2.190041E+01 -4.701092E+01 -6.121569E+00 -4.424107E+00  1.346315E+00 -2.633883E+00
      1368   6  5.337189E+01 -1.659613E+01  5.074785E+00  8.493345E+00  1.321527E+00 -2.042773E+00
      1368   7 -1.586440E+01 -4.559153E+01 -3.816984E+00 -2.941547E+00 -2.689258E-01  4.948868E+00
      1368   8  5.907768E+01 -1.548841E+01  7.197511E+00  9.728946E+00 -2.584035E-01  5.531124E+00
      1369   1  7.553594E+01 -1.892001E+01 -4.049153E+00  4.272007E+01 -8.205387E-01 -1.571801E+00
      1369   2  1.384970E+02  5.145213E+00  2.705188E+00  5.273200E+01 -8.332294E-01 -9.015668E-01
      1369   3  8.140601E+01 -1.791391E+01 -1.980909E+00  4.368837E+01 -2.263950E+00  5.547106E+00
      1369   4  1.441173E+02  5.915890E+00  4.634930E+00  5.349686E+01 -2.246276E+00  6.205542E+00
      1369   5  8.786517E+01 -2.961979E+01 -3.046556E+00  2.156590E+01  1.829824E+00 -3.632034E+00
      1369   6  1.503821E+02 -5.034495E+00  3.833926E+00  3.246358E+01  1.847517E+00 -3.161730E+00
      1369   7  9.361381E+01 -2.835559E+01 -8.606827E-01  2.247609E+01  3.866515E-01  3.459308E+00
      1369   8  1.558896E+02 -4.012888E+00  5.884880E+00  3.317277E+01  4.343452E-01  3.919618E+00
      1370   1  1.719381E+02  8.056238E-01 -2.453468E+00  6.134529E+01 -3.644042E-01 -2.135521E+00
      1370   2  2.252540E+02  2.052047E+01  8.327472E-01  7.001593E+01 -2.856299E-01 -1.513156E+00
      1370   3  1.775836E+02  1.601999E+00 -5.034466E-01  6.182121E+01 -1.692544E+00  4.685873E+00
      1370   4  2.307557E+02  2.115079E+01  2.696819E+00  7.033029E+01 -1.585267E+00  5.296607E+00
      1370   5  1.834437E+02 -9.076715E+00 -1.294046E+00  4.174607E+01  2.346589E+00 -4.554138E+00
      1370   6  2.363845E+02  1.109790E+01  2.119383E+00  5.118190E+01  2.480495E+00 -4.121843E+00
      1370   7  1.889844E+02 -8.068094E+00  7.671356E-01  4.214799E+01  1.017415E+00  2.243286E+00
      1370   8  2.417890E+02  1.193567E+01  4.098446E+00  5.142513E+01  1.179406E+00  2.665543E+00
      1371   1 -3.097918E+02 -4.459686E+01 -1.172116E+01 -5.011635E+01 -1.715268E+00 -3.966827E+00
      1371   2 -1.930631E+02  2.383335E+00  9.655896E+00 -3.231682E+01 -1.750043E+00 -2.120212E+00
      1371   3 -2.998935E+02 -4.350548E+01 -8.458647E+00 -4.617532E+01 -3.964997E+00  6.412374E+00
      1371   4 -1.840076E+02  2.855711E+00  1.249027E+01 -2.881007E+01 -3.937485E+00  8.252024E+00
      1371   5 -2.937404E+02 -6.076023E+01 -1.166058E+01 -7.994797E+01  1.758104E+00 -4.609818E+00
      1371   6 -1.777798E+02 -1.282424E+01  9.924999E+00 -6.055197E+01  1.700160E+00 -2.979441E+00
      1371   7 -2.840458E+02 -5.921137E+01 -8.235210E+00 -7.600398E+01 -4.874717E-01  5.708899E+00
      1371   8 -1.689117E+02 -1.191360E+01  1.292580E+01 -5.704242E+01 -4.836665E-01  7.335708E+00
      1372   1 -1.552496E+02 -4.524536E+01 -1.147543E+01 -8.719379E+00 -1.335205E+00 -2.932138E+00
      1372   2 -6.221425E+01 -7.893380E+00  5.658561E+00  5.262511E+00 -1.620424E+00 -1.182272E+00
      1372   3 -1.467483E+02 -4.513983E+01 -8.902830E+00 -5.534360E+00 -2.960677E+00  5.274057E+00
      1372   4 -5.455845E+01 -8.365361E+00  7.812339E+00  8.071837E+00 -3.210047E+00  7.010941E+00
      1372   5 -1.408411E+02 -5.850748E+01 -1.080572E+01 -3.474777E+01  2.107282E+00 -4.021461E+00
      1372   6 -4.843381E+01 -2.042835E+01  6.476687E+00 -1.949116E+01  1.761926E+00 -2.504872E+00
      1372   7 -1.325296E+02 -5.795678E+01 -8.081752E+00 -3.151846E+01  4.827901E-01  4.142391E+00
      1372   8 -4.095433E+01 -2.047279E+01  8.784138E+00 -1.663970E+01  1.731440E-01  5.648365E+00
      1373   1 -2.589822E+01 -3.545061E+01 -7.308015E+00  2.174433E+01 -1.150436E+00 -2.662744E+00
      1373   2  4.915803E+01 -6.264230E+00  3.300704E+00  3.316207E+01 -1.437586E+00 -1.074605E+00
      1373   3 -1.848187E+01 -3.585700E+01 -5.200555E+00  2.410549E+01 -2.603505E+00  5.019846E+00
      1373   4  5.589573E+01 -7.134538E+00  5.073044E+00  3.521908E+01 -2.862154E+00  6.593998E+00
      1373   5 -1.277467E+01 -4.684933E+01 -6.288847E+00 -1.518145E+00  2.204093E+00 -4.196607E+00
      1373   6  6.176655E+01 -1.707088E+01  4.454674E+00  1.094978E+01  1.868603E+00 -2.837382E+00
      1373   7 -5.524601E+00 -4.686509E+01 -4.038034E+00  8.796701E-01  7.510048E-01  3.450451E+00
      1373   8  6.834941E+01 -1.756427E+01  6.373016E+00  1.304179E+01  4.439188E-01  4.797667E+00
      1374   1  8.413711E+01 -1.959779E+01 -4.884656E+00  4.465489E+01 -9.364294E-01 -2.746364E+00
      1374   2  1.464806E+02  3.927572E+00  1.389918E+00  5.429798E+01 -1.182686E+00 -1.360128E+00
      1374   3  9.081040E+01 -2.012606E+01 -3.023831E+00  4.631995E+01 -2.242611E+00  4.464633E+00
      1374   4  1.526281E+02  3.032152E+00  2.990041E+00  5.571516E+01 -2.465164E+00  5.836344E+00
      1374   5  9.625608E+01 -2.981100E+01 -3.649940E+00  2.342887E+01  2.344730E+00 -4.699206E+00
      1374   6  1.581688E+02 -5.781220E+00  2.752096E+00  3.396072E+01  2.068613E+00 -3.536037E+00
      1374   7  1.027840E+02 -2.999809E+01 -1.653233E+00  2.511475E+01  1.037519E+00  2.482353E+00
      1374   8  1.641808E+02 -6.346067E+00  4.491001E+00  3.539785E+01  7.850040E-01  3.632689E+00
      1375   1  1.802144E+02  1.068297E-01 -3.294674E+00  6.234306E+01 -7.143182E-01 -2.774483E+00
      1375   2  2.336409E+02  1.992883E+01  8.085706E-01  7.072297E+01 -7.824742E-01 -1.728188E+00
      1375   3  1.867183E+02  1.852137E-01 -1.289146E+00  6.328789E+01 -1.838188E+00  3.802665E+00
      1375   4  2.398187E+02  1.975470E+01  2.647659E+00  7.147683E+01 -1.882666E+00  4.835294E+00
      1375   5  1.915367E+02 -9.381576E+00 -1.926544E+00  4.263612E+01  2.529015E+00 -5.122029E+00
      1375   6  2.445994E+02  1.088902E+01  2.305620E+00  5.178540E+01  2.475258E+00 -4.281891E+00
      1375   7  1.979159E+02 -9.034356E+00  1.978343E-01  4.356303E+01  1.402822E+00  1.430341E+00
      1375   8  2.506607E+02  1.097659E+01  4.266754E+00  5.252205E+01  1.372510E+00  2.258330E+00
      1376   1 -3.233467E+02 -6.378938E+01 -2.605311E+01 -8.588029E+01  6.319195E-01 -2.847283E+00
      1376   2 -2.060657E+02 -7.445556E+00  6.061385E+00 -6.098230E+01  5.938631E-01 -2.572981E+00
      1376   3 -3.234124E+02 -6.322588E+01 -2.597768E+01 -8.464479E+01 -2.200265E+00  4.207784E+00
      1376   4 -2.059454E+02 -7.060253E+00  6.147718E+00 -5.997204E+01 -2.164439E+00  4.490626E+00
      1376   5 -3.022683E+02 -8.612445E+01 -2.699662E+01 -1.112460E+02  1.268698E+00 -3.934427E+00
      1376   6 -1.860604E+02 -2.853042E+01  5.296655E+00 -8.499064E+01  1.308034E+00 -3.835313E+00
      1376   7 -3.024156E+02 -8.539822E+01 -2.683756E+01 -1.102434E+02 -1.544585E+00  3.066142E+00
      1376   8 -1.860139E+02 -2.798762E+01  5.470296E+00 -8.420078E+01 -1.432698E+00  3.177345E+00
      1377   1 -1.740693E+02 -5.146341E+01 -1.231891E+01 -2.796734E+01  5.340199E-01 -2.309210E+00
      1377   2 -8.292622E+01 -9.247251E+00  7.299597E+00 -8.310780E+00  5.105083E-01 -2.123456E+00
      1377   3 -1.735733E+02 -5.107474E+01 -1.211308E+01 -2.728657E+01 -2.225886E+00  4.904436E+00
      1377   4 -8.227980E+01 -8.994233E+00  7.518721E+00 -7.807832E+00 -2.185058E+00  5.095820E+00
      1377   5 -1.551982E+02 -7.006052E+01 -1.258343E+01 -5.022846E+01  1.336418E+00 -3.769341E+00
      1377   6 -6.491399E+01 -2.686821E+01  7.200559E+00 -2.948167E+01  1.389755E+00 -3.755337E+00
      1377   7 -1.547690E+02 -6.952791E+01 -1.228882E+01 -4.974902E+01 -1.406382E+00  3.394600E+00
      1377   8 -6.432743E+01 -2.647471E+01  7.512415E+00 -2.917017E+01 -1.289883E+00  3.417359E+00
      1378   1 -5.020998E+01 -3.281818E+01 -4.749373E+00  1.472362E+01  5.019243E-01 -2.022377E+00
      1378   2  2.302200E+01 -8.500710E-03  7.037648E+00  3.081082E+01  4.820206E-01 -1.877719E+00
      1378   3 -4.933837E+01 -3.262099E+01 -4.472409E+00  1.500491E+01 -2.101038E+00  5.064089E+00
      1378   4  2.401843E+01  8.010246E-02  7.328274E+00  3.094644E+01 -2.066111E+00  5.211293E+00
      1378   5 -3.304313E+01 -4.892578E+01 -4.553667E+00 -5.231646E+00  1.456325E+00 -3.828669E+00
      1378   6  3.948503E+01 -1.531776E+01  7.390441E+00  1.175648E+01  1.512933E+00 -3.854610E+00
      1378   7 -3.222648E+01 -4.859626E+01 -4.184050E+00 -5.129266E+00 -1.131794E+00  3.214178E+00
      1378   8  4.043243E+01 -1.509933E+01  7.777638E+00  1.172126E+01 -1.021379E+00  3.193479E+00
      1379   1  5.539368E+01 -1.066699E+01 -8.253127E-01  4.723991E+01  4.999874E-01 -1.857103E+00
      1379   2  1.159229E+02  1.567599E+01  5.981722E+00  6.080124E+01  4.814276E-01 -1.720515E+00
      1379   3  5.651850E+01 -1.067745E+01 -5.182940E-01  4.722176E+01 -1.909575E+00  4.950808E+00
      1379   4  1.171548E+02  1.557576E+01  6.302346E+00  6.066063E+01 -1.881957E+00  5.087057E+00
      1379   5  7.121321E+01 -2.509349E+01 -3.094812E-01  2.904253E+01  1.596707E+00 -3.992516E+00
      1379   6  1.311536E+02  1.927116E+00  6.647642E+00  4.336580E+01  1.654925E+00 -4.026272E+00
      1379   7  7.229213E+01 -2.498044E+01  9.239707E-02  2.886151E+01 -8.004619E-01  2.778316E+00
      1379   8  1.323449E+02  1.948582E+00  7.066930E+00  4.306916E+01 -6.969495E-01  2.746527E+00
      1380   1  1.473974E+02  1.329959E+01  9.871537E-01  7.274717E+01  5.187549E-01 -1.744895E+00
      1380   2  1.986660E+02  3.509403E+01  4.663772E+00  8.445857E+01  5.095531E-01 -1.618841E+00
      1380   3  1.487397E+02  1.315777E+01  1.336240E+00  7.248238E+01 -1.680883E+00  4.693065E+00
      1380   4  2.001063E+02  3.487815E+01  5.027903E+00  8.408959E+01 -1.651482E+00  4.816232E+00
      1380   5  1.621296E+02  1.862213E-02  1.729929E+00  5.592062E+01  1.751789E+00 -4.197750E+00
      1380   6  2.128967E+02  2.240514E+01  5.549299E+00  6.828891E+01  1.821098E+00 -4.241607E+00
      1380   7  1.634333E+02 -8.567078E-03  2.174142E+00  5.550395E+01 -4.380166E-01  2.209907E+00
      1380   8  2.143030E+02  2.230256E+01  6.012188E+00  6.777398E+01 -3.308678E-01  2.165119E+00
      1381   1 -3.223494E+02 -6.225084E+01 -2.466056E+01 -8.352124E+01 -5.647591E-01 -2.675962E+00
      1381   2 -2.051583E+02 -6.603662E+00  6.602661E+00 -5.902389E+01 -5.055633E-01 -2.101583E+00
      1381   3 -3.205802E+02 -6.135315E+01 -2.392639E+01 -8.169271E+01 -3.343855E+00  4.664641E+00
      1381   4 -2.033349E+02 -5.950253E+00  7.288803E+00 -5.744907E+01 -3.210812E+00  5.246726E+00
      1381   5 -3.014165E+02 -8.428845E+01 -2.544870E+01 -1.092809E+02  6.070528E-01 -3.627814E+00
      1381   6 -1.852833E+02 -2.739956E+01  6.002360E+00 -8.340505E+01  7.380748E-01 -3.224114E+00
      1381   7 -2.997498E+02 -8.319525E+01 -2.462557E+01 -1.076593E+02 -2.155043E+00  3.655982E+00
      1381   8 -1.835533E+02 -2.655747E+01  6.781132E+00 -8.202611E+01 -1.951463E+00  4.070942E+00
      1382   1 -1.726992E+02 -5.070263E+01 -1.204240E+01 -2.660603E+01 -5.810904E-01 -1.430835E+00
      1382   2 -8.158424E+01 -8.991166E+00  6.998663E+00 -7.266214E+00 -5.138479E-01 -1.075340E+00
      1382   3 -1.703994E+02 -4.966849E+01 -1.109259E+01 -2.543209E+01 -3.260975E+00  5.995835E+00
      1382   4 -7.923961E+01 -8.146579E+00  7.914270E+00 -6.293780E+00 -3.130009E+00  6.355988E+00
      1382   5 -1.539447E+02 -6.903354E+01 -1.213860E+01 -4.920778E+01  7.477602E-01 -2.751018E+00
      1382   6 -6.367616E+01 -2.635227E+01  7.075231E+00 -2.876102E+01  8.878515E-01 -2.563983E+00
      1382   7 -1.517285E+02 -6.782372E+01 -1.109425E+01 -4.821297E+01 -1.917109E+00  4.624616E+00
      1382   8 -6.140747E+01 -2.533702E+01  8.089194E+00 -2.795897E+01 -1.714429E+00  4.819420E+00
      1383   1 -4.860448E+01 -3.273849E+01 -5.229018E+00  1.537203E+01 -3.673519E-01 -1.134103E+00
      1383   2  2.471798E+01 -2.268287E-01  6.349804E+00  3.119944E+01 -3.129615E-01 -8.735092E-01
      1383   3 -4.603768E+01 -3.182457E+01 -4.218484E+00  1.608976E+01 -2.858280E+00  6.064379E+00
      1383   4  2.732057E+01  5.325715E-01  7.333686E+00  3.175124E+01 -2.750282E+00  6.326446E+00
      1383   5 -3.153332E+01 -4.860081E+01 -4.858791E+00 -4.885813E+00  1.106071E+00 -2.794096E+00
      1383   6  4.109493E+01 -1.529657E+01  6.881683E+00  1.185617E+01  1.233426E+00 -2.701881E+00
      1383   7 -2.903683E+01 -4.752487E+01 -3.750784E+00 -4.326936E+00 -1.372268E+00  4.360269E+00
      1383   8  4.363384E+01 -1.437899E+01  7.966813E+00  1.225626E+01 -1.192279E+00  4.456618E+00
      1384   1  5.724196E+01 -1.112362E+01 -1.602391E+00  4.735718E+01 -6.623959E-02 -1.264676E+00
      1384   2  1.179005E+02  1.502096E+01  5.148624E+00  6.070019E+01 -2.228855E-02 -1.007062E+00
      1384   3  5.990230E+01 -1.052475E+01 -6.418220E-01  4.774157E+01 -2.355041E+00  5.611853E+00
      1384   4  1.205935E+02  1.549180E+01  6.089139E+00  6.094532E+01 -2.266072E+00  5.868222E+00
      1384   5  7.298013E+01 -2.532319E+01 -9.126673E-01  2.888432E+01  1.542300E+00 -3.246961E+00
      1384   6  1.330580E+02  1.494320E+00  5.992300E+00  4.300083E+01  1.660255E+00 -3.157712E+00
      1384   7  7.558013E+01 -2.457480E+01  1.464180E-01  2.912402E+01 -7.363216E-01  3.592050E+00
      1384   8  1.356965E+02  2.111744E+00  7.035011E+00  4.310731E+01 -5.741881E-01  3.682315E+00
      1385   1  1.494954E+02  1.249512E+01  6.849519E-02  7.242316E+01  2.830611E-01 -1.554015E+00
      1385   2  2.007980E+02  3.403588E+01  3.493888E+00  8.394945E+01  3.406871E-01 -1.294855E+00
      1385   3  1.522473E+02  1.285495E+01  1.000491E+00  7.252259E+01 -1.821277E+00  5.003626E+00
      1385   4  2.035907E+02  3.429292E+01  4.415435E+00  8.393209E+01 -1.725428E+00  5.259429E+00
      1385   5  1.641579E+02 -5.781919E-01  9.813659E-01  5.533906E+01  2.022280E+00 -3.845363E+00
      1385   6  2.149668E+02  2.155178E+01  4.555078E+00  6.753231E+01  2.158313E+00 -3.753011E+00
      1385   7  1.668583E+02 -8.369416E-02  2.011517E+00  5.530175E+01 -7.422864E-02  2.680893E+00
      1385   8  2.177134E+02  2.194146E+01  5.578395E+00  6.738358E+01  9.928136E-02  2.771820E+00
      1386   1 -3.177954E+02 -5.982659E+01 -2.137334E+01 -8.011592E+01 -1.560695E+00 -2.646278E+00
      1386   2 -2.013932E+02 -5.457261E+00  7.853501E+00 -5.607009E+01 -1.416027E+00 -1.736595E+00
      1386   3 -3.140226E+02 -5.862181E+01 -1.993935E+01 -7.764278E+01 -4.382113E+00  5.272153E+00
      1386   4 -1.977196E+02 -4.573852E+00  9.171175E+00 -5.388335E+01 -4.161032E+00  6.189469E+00
      1386   5 -2.970470E+02 -8.150966E+01 -2.200222E+01 -1.062228E+02  2.048712E-01 -3.445671E+00
      1386   6 -1.816816E+02 -2.590646E+01  7.429857E+00 -8.077990E+01  4.137043E-01 -2.703783E+00
      1386   7 -2.933965E+02 -8.006709E+01 -2.046842E+01 -1.039258E+02 -2.600747E+00  4.411110E+00
      1386   8 -1.781200E+02 -2.479414E+01  8.850995E+00 -7.875987E+01 -2.316784E+00  5.164310E+00
      1387   1 -1.685364E+02 -4.919775E+01 -1.134872E+01 -2.436816E+01 -1.455413E+00 -8.304062E-01
      1387   2 -7.782045E+01 -8.267723E+00  6.613190E+00 -5.388419E+00 -1.334815E+00 -2.931083E-01
      1387   3 -1.642985E+02 -4.750001E+01 -9.609327E+00 -2.264034E+01 -4.085950E+00  6.922542E+00
      1387   4 -7.367167E+01 -6.828807E+00  8.257941E+00 -3.892044E+00 -3.901832E+00  7.463517E+00
      1387   5 -1.499256E+02 -6.720072E+01 -1.125977E+01 -4.726977E+01  4.534103E-01 -1.994753E+00
      1387   6 -6.004097E+01 -2.530882E+01  6.884906E+00 -2.716844E+01  6.380847E-01 -1.626133E+00
      1387   7 -1.457885E+02 -6.528309E+01 -9.415453E+00 -4.569252E+01 -2.163959E+00  5.705001E+00
      1387   8 -5.598429E+01 -2.365703E+01  8.638211E+00 -2.581526E+01 -1.916848E+00  6.080442E+00
      1388   1 -4.468218E+01 -3.208292E+01 -5.915363E+00  1.680404E+01 -9.976795E-01 -7.028868E-01
      1388   2  2.854596E+01  2.577228E-02  5.336013E+00  3.233383E+01 -9.255436E-01 -2.902782E-01
      1388   3 -4.039084E+01 -3.054959E+01 -4.191187E+00  1.803338E+01 -3.373956E+00  6.620015E+00
      1388   4  3.275204E+01  1.340926E+00  6.978409E+00  3.336961E+01 -3.249962E+00  7.032664E+00
      1388   5 -2.772966E+01 -4.763907E+01 -5.351333E+00 -3.718906E+00  1.038675E+00 -2.205590E+00
      1388   6  4.481543E+01 -1.474581E+01  6.066572E+00  1.273741E+01  1.173157E+00 -1.964230E+00
      1388   7 -2.352492E+01 -4.589908E+01 -3.520622E+00 -2.620822E+00 -1.327155E+00  5.072528E+00
      1388   8  4.894243E+01 -1.322975E+01  7.818968E+00  1.364787E+01 -1.141712E+00  5.316567E+00
      1389   1  6.111085E+01 -1.120132E+01 -2.747970E+00  4.819014E+01 -4.630950E-01 -1.155675E+00
      1389   2  1.218083E+02  1.472084E+01  3.994038E+00  6.128389E+01 -4.008562E-01 -7.452704E-01
      1389   3  6.530466E+01 -1.009783E+01 -1.165129E+00  4.902726E+01 -2.615820E+00  5.759698E+00
      1389   4  1.259378E+02  1.564581E+01  5.512800E+00  6.195998E+01 -2.510284E+00  6.167625E+00
      1389   5  7.674668E+01 -2.512064E+01 -1.866969E+00  2.947544E+01  1.689351E+00 -2.981911E+00
      1389   6  1.368726E+02  1.467584E+00  5.032420E+00  4.335279E+01  1.817280E+00 -2.741894E+00
      1389   7  8.086501E+01 -2.383081E+01 -1.793794E-01  3.019195E+01 -4.553533E-01  3.895532E+00
      1389   8  1.409331E+02  2.574378E+00  6.659327E+00  4.391328E+01 -2.849012E-01  4.135293E+00
      1390   1  1.534560E+02  1.194990E+01 -1.200060E+00  7.273686E+01  1.032412E-01 -1.689520E+00
      1390   2  2.046758E+02  3.317155E+01  1.896229E+00  8.405553E+01  2.072249E-01 -1.273381E+00
      1390   3  1.576174E+02  1.272716E+01  2.903141E-01  7.321908E+01 -1.903461E+00  4.996069E+00
      1390   4  2.088100E+02  3.381191E+01  3.345819E+00  8.440650E+01 -1.761622E+00  5.408338E+00
      1390   5  1.680307E+02 -8.750711E-01 -1.011042E-01  5.542277E+01  2.372344E+00 -3.823620E+00
      1390   6  2.187666E+02  2.093226E+01  3.150503E+00  6.741741E+01  2.551765E+00 -3.572928E+00
      1390   7  1.721274E+02  6.111641E-02  1.491470E+00  5.578701E+01  3.715950E-01  2.829147E+00
      1390   8  2.228417E+02  2.172857E+01  4.705835E+00  6.765501E+01  5.881523E-01  3.077884E+00
      1391   1 -3.094700E+02 -5.665425E+01 -1.648820E+01 -7.556113E+01 -2.172068E+00 -2.845885E+00
      1391   2 -1.947353E+02 -4.303471E+00  9.176123E+00 -5.202575E+01 -1.946334E+00 -1.600973E+00
      1391   3 -3.032364E+02 -5.491730E+01 -1.415071E+01 -7.235420E+01 -5.147704E+00  6.035520E+00
      1391   4 -1.887863E+02 -2.981293E+00  1.131511E+01 -4.914415E+01 -4.839995E+00  7.288822E+00
      1391   5 -2.889410E+02 -7.790584E+01 -1.693850E+01 -1.019593E+02  3.008035E-01 -3.450043E+00
      1391   6 -1.752157E+02 -2.432848E+01  8.958388E+00 -7.701124E+01  5.812790E-01 -2.370910E+00
      1391   7 -2.828490E+02 -7.587627E+01 -1.448332E+01 -9.889061E+01 -2.659645E+00  5.362001E+00
      1391   8 -1.693963E+02 -2.272503E+01  1.121878E+01 -7.426048E+01 -2.298509E+00  6.453480E+00
      1392   1 -1.616562E+02 -4.730713E+01 -1.086858E+01 -2.108801E+01 -1.795362E+00 -1.003208E+00
      1392   2 -7.155384E+01 -7.247140E+00  6.009829E+00 -2.527804E+00 -1.750694E+00 -1.691122E-01
      1392   3 -1.553976E+02 -4.520392E+01 -8.391110E+00 -1.858086E+01 -4.349942E+00  7.049584E+00
      1392   4 -6.560539E+01 -5.520986E+00  8.291345E+00 -3.026331E-01 -4.243758E+00  7.885331E+00
      1392   5 -1.432157E+02 -6.488746E+01 -1.056186E+01 -4.423346E+01  7.967482E-01 -1.969109E+00
      1392   6 -5.392799E+01 -2.387795E+01  6.508127E+00 -2.453972E+01  8.790933E-01 -1.315550E+00
      1392   7 -1.370791E+02 -6.248353E+01 -7.959600E+00 -4.183029E+01 -1.746487E+00  6.028210E+00
      1392   8 -4.809168E+01 -2.186192E+01  8.917369E+00 -2.241342E+01 -1.603576E+00  6.686596E+00
      1393   1 -3.844609E+01 -3.119936E+01 -6.830933E+00  1.921254E+01 -1.212454E+00 -1.152956E+00
      1393   2  3.449787E+01  4.298543E-01  4.102025E+00  3.438978E+01 -1.274912E+00 -3.638469E-01
      1393   3 -3.267616E+01 -2.976358E+01 -4.681222E+00  2.119908E+01 -3.454133E+00  6.264064E+00
      1393   4  3.997642E+01  1.536842E+00  6.075025E+00  3.613596E+01 -3.468595E+00  7.050697E+00
      1393   5 -2.163865E+01 -4.635508E+01 -6.044647E+00 -1.520625E+00  1.457725E+00 -2.473864E+00
      1393   6  5.063443E+01 -1.395377E+01  5.057845E+00  1.459264E+01  1.426045E+00 -1.871557E+00
      1393   7 -1.597780E+01 -4.463291E+01 -3.770963E+00  3.816928E-01 -7.754105E-01  4.897305E+00
      1393   8  5.601227E+01 -1.256982E+01  7.157518E+00  1.625835E+01 -7.598167E-01  5.499723E+00
      1394   1  6.706956E+01 -1.105029E+01 -4.062085E+00  4.985457E+01 -6.512423E-01 -1.717035E+00
      1394   2  1.276278E+02  1.456003E+01  2.605280E+00  6.265715E+01 -6.721860E-01 -1.048242E+00
      1394   3  7.264274E+01 -9.813463E+00 -2.014332E+00  5.127313E+01 -2.661980E+00  5.231455E+00
